name,price,discounted_price,promo,penjual,lokasi_penjual,rating,unit_terjual,url
Ram Ace Power 16GB 3200Mhz / 8GB 3200Mhz - UDIMM D4 3200Mhz For PC  - 8GB 3200,Rp495.000,,,Global link distribution,Jakarta Pusat,,,https://www.tokopedia.com/global-link168/ram-ace-power-16gb-3200mhz-8gb-3200mhz-udimm-d4-3200mhz-for-pc-16gb-3200-a95e3?extParam=ivf%3Dfalse%26keyword%3Dram%26search_id%3D2025092412311004025959B191F826BTE8%26src%3Dsearch
RAM DA Shadow DDR4 8GB/16GB 3200Mhz - Longdimm DA With Heatsink - 16GB 3200mhz,Rp285.000,,,Global link distribution,Jakarta Pusat,,,https://www.tokopedia.com/global-link168/ram-da-shadow-ddr4-8gb-16gb-3200mhz-longdimm-da-with-heatsink-8gb-3200mhz-ea284?extParam=ivf%3Dfalse%26keyword%3Dram%26search_id%3D2025092412311004025959B191F826BTE8%26src%3Dsearch
Realme R11 Pro Ram 8/256Gb Ram 8Gb Internal 256Gb - PRO8/256,Rp6.549.000,,,nexstarpgc,Jakarta Timur,,,https://www.tokopedia.com/nexstarpgc/realme-r11-pro-ram-8-256gb-ram-8gb-internal-256gb-pro-12-512gb-f47f7?extParam=ivf%3Dfalse%26keyword%3Dram%26search_id%3D2025092412311004025959B191F826BTE8%26src%3Dsearch
HIGH QUALITY !! Laptop HP PROBOOK 440 G6 i5 GEN 8 RAM 32GB/SSD 1TB WIN 10 PRO - 8GB/256SSD,Rp3.750.000,Rp3.712.500,1%,RedStar Electronic,Jakarta Barat,,,https://www.tokopedia.com/redstarelectronic/high-quality-laptop-hp-probook-440-g6-i5-gen-8-ram-32gb-ssd-1tb-win-10-pro-8gb-512ssd-d9bee?extParam=ivf%3Dfalse%26keyword%3Dram%26search_id%3D2025092412311004025959B191F826BTE8%26src%3Dsearch
RAM CORSAIR VENGEANCE DDR5 64GB (2x32GB) 5600Mhz - CMK64GX5M2B-5600C40 - WHITE,Rp3.468.000,,,vectacom,Jakarta Pusat,,,https://www.tokopedia.com/vectacom/ram-corsair-vengeance-ddr5-64gb-2x32gb-5600mhz-cmk64gx5m2b-5600c40-black-92246?extParam=ivf%3Dfalse%26keyword%3Dram%26search_id%3D2025092412311004025959B191F826BTE8%26src%3Dsearch
"ASUS ExpertBook B1 B1400CBA i7-1255U 8GB/16GB SSD 512G 14"" FHD W11 PRO - RAM 16GB",Rp11.249.000,,,Kurnia Abadi Semesta,Jakarta Pusat,,,https://www.tokopedia.com/kurniaabadisemesta/asus-expertbook-b1-b1400cba-i7-1255u-8gb-16gb-ssd-512g-14-fhd-w11-pro-ram-8gb-de4e9?extParam=ivf%3Dfalse%26keyword%3Dram%26search_id%3D2025092412311004025959B191F826BTE8%26src%3Dsearch
"Tab ADVAN XTAB Ram 4GB ROM 64GB Unisoc T310 Quadcore 8"" Android 13 Garansi Resmi",Rp1.300.000,,,BintangRayaKomputer,Jakarta Pusat,5.0,2 terjual,https://www.tokopedia.com/bintangrayacom/tab-advan-xtab-ram-4gb-rom-64gb-unisoc-t310-quadcore-8-android-13-garansi-resmi?extParam=ivf%3Dfalse%26keyword%3Dram%26search_id%3D2025092412311004025959B191F826BTE8%26src%3Dsearch
Xiaomi Redmi PAD SE 8.7 Ram 4+4/128GB Garansi Resmi,Rp1.699.000,,,WESEL,Bandung,5.0,6 terjual,https://www.tokopedia.com/wesel/xiaomi-redmi-pad-se-8-7-ram-4-4-128gb-garansi-resmi-1731082519145318114?extParam=ivf%3Dfalse%26keyword%3Dram%26search_id%3D2025092412311004025959B191F826BTE8%26src%3Dsearch
upgrade RAM 8GB DDR4,Rp756.490,,,Sentral Komputer-HP Authorized,Jakarta Timur,5.0,13 terjual,https://www.tokopedia.com/sentralkomputer-/upgrade-ram-8gb-ddr4-3200mhz?extParam=ivf%3Dfalse%26keyword%3Dram%26search_id%3D2025092412311004025959B191F826BTE8%26src%3Dsearch
Ram Laptop 4GB 8GB 16GB 32GB SODIMM Untuk Semua Laptop,Rp299.000,,,Optima Tech,Bekasi,5.0,8 terjual,https://www.tokopedia.com/optimatechstore/ram-laptop-4gb-8gb-16gb-32gb-sodimm-untuk-semua-laptop-4gb-c20ca?extParam=ivf%3Dfalse%26keyword%3Dram%26search_id%3D2025092412311004025959B191F826BTE8%26src%3Dsearch
