name,price,discounted_price,promo,penjual,lokasi_penjual,rating,unit_terjual,url
Skincare Collagen 7x Serving - Alamon COLL - 2.000 mg Fish Collagen Peptide Perserving with L-Glutathone and Natural Extract,Rp75.000,Rp37.500,50%,Alamon Official,Tangerang Selatan,5.0,9 terjual,https://www.tokopedia.com/alamon-official/skincare-collagen-7x-serving-alamon-coll-2-000-mg-fish-collagen-peptide-perserving-with-l-glutathone-and-natural-extract?extParam=ivf%3Dfalse%26keyword%3Dskincare%26search_id%3D20250924123431D81F9C1BE2E08938E08X%26src%3Dsearch
Mama's Choice Baby Daily Nourishing Face Cream - Skincare Bayi Krim Pelembab Muka Bayi,Rp119.000,,,Babies & Everything,Kab. Bogor,5.0,3 terjual,https://www.tokopedia.com/babiesevery/mama-s-choice-baby-daily-nourishing-face-cream-skincare-bayi-krim-pelembab-muka-bayi?extParam=ivf%3Dtrue%26keyword%3Dskincare%26search_id%3D20250924123431D81F9C1BE2E08938E08X%26src%3Dsearch
[Mizan Jakarta] Komik Anak KKPK: My First Skincare | Buku Cerita Karya Penulis Cilik,Rp39.000,Rp33.150,15%,Mizanstore Jakarta,Depok,5.0,7 terjual,https://www.tokopedia.com/mizanstorejkt/mizan-jakarta-komik-anak-kkpk-my-first-skincare-buku-cerita-karya-penulis-cilik-1729849939192547220?extParam=ivf%3Dtrue%26keyword%3Dskincare%26search_id%3D20250924123431D81F9C1BE2E08938E08X%26src%3Dsearch
GWP RINTIK Exclusive Pouch Rintik Skincare,Rp999.000,,,BeautyHaul_NEW,Tangerang,5.0,6 terjual,https://www.tokopedia.com/beautyhaulindo/gwp-rintik-exclusive-pouch-rintik-skincare-1731519812685170105?extParam=ivf%3Dfalse%26keyword%3Dskincare%26search_id%3D20250924123431D81F9C1BE2E08938E08X%26src%3Dsearch
BeeMe Nourishing Balm 15gr - Pelembab Kulit Bayi dan Anak | Penghilang Bekas Luka Bee Me Balm Anak | Beeme Skincare Ibu dan Bayi | Beeme Cream Bayi | Bee Me Krim Bayi | Krim Anak,Rp75.000,,,HealBeau Store,Jakarta Utara,5.0,30+ terjual,https://www.tokopedia.com/healbeau/beeme-nourishing-balm-15gr-pelembab-kulit-bayi-dan-anak-penghilang-bekas-luka-bee-me-balm-anak-beeme-skincare-ibu-dan-bayi-beeme-cream-bayi-bee-me-krim-bayi-krim-anak?extParam=ivf%3Dtrue%26keyword%3Dskincare%26search_id%3D20250924123431D81F9C1BE2E08938E08X%26src%3Dsearch
Goland Rak Putar Rak Bumbu Rak Skincare Tingkat Penyimpanan Serbaguna Berputar 360 Derajat Stainless Rotate 2 Susun,Rp199.000,Rp189.000,5%,Goland Indonesia,Kab. Tangerang,5.0,3 terjual,https://www.tokopedia.com/goland-indonesia/goland-rak-putar-rak-bumbu-rak-skincare-tingkat-penyimpanan-serbaguna-berputar-360-derajat-stainless-rotate-2-susun-1730724386863219727?extParam=ivf%3Dtrue%26keyword%3Dskincare%26search_id%3D20250924123431D81F9C1BE2E08938E08X%26src%3Dsearch
[Mizan Jakarta] Buku Skincare 101 - Dr. Mufti Anam & Wardah Nafisah,Rp79.000,Rp19.500,75%,Mizanstore Jakarta,Depok,5.0,11 terjual,https://www.tokopedia.com/mizanstorejkt/mizan-jakarta-buku-skincare-101-dr-mufti-anam-wardah-nafisah-1729818242303559572?extParam=ivf%3Dfalse%26keyword%3Dskincare%26search_id%3D20250924123431D81F9C1BE2E08938E08X%26src%3Dsearch
[Mizan] Buku Skincare 101 - Dr. Mufti Anam & Wardah Nafisah,Rp79.000,Rp19.500,75%,Mizan Store Official,Depok,5.0,40+ terjual,https://www.tokopedia.com/mizan-store-official/mizan-buku-skincare-101-dr-mufti-anam-wardah-nafisah-1729845150619829573?extParam=ivf%3Dfalse%26keyword%3Dskincare%26search_id%3D20250924123431D81F9C1BE2E08938E08X%26src%3Dsearch%26whid%3D11549720
For Skins Sake Jelly Pouch dengan Desain Khusus Bertema HOCL Transparan Elegan dan Fungsional untuk Menyimpan Skincare Makeup dan Aksesori Harian dengan Sentuhan Estetika yang Lembut dan Modern,Rp150.000,Rp75.000,50%,For Skin's Sake,Jakarta Barat,5.0,250+ terjual,https://www.tokopedia.com/forskinssake/for-skins-sake-jelly-pouch-dengan-desain-khusus-bertema-hocl-transparan-elegan-dan-fungsional-untuk-menyimpan-skincare-makeup-dan-aksesori-harian-dengan-sentuhan-estetika-yang-lembut-dan-modern-1731723734328575500?extParam=ivf%3Dfalse%26keyword%3Dskincare%26search_id%3D20250924123431D81F9C1BE2E08938E08X%26src%3Dsearch
Moell Soothing & Calming Rub Cream 50gr - With Red Ginger Meningkatkan Kualitas Tidur - Skincare Baby - Natural Organic,Rp68.400,,,Megah Sakti Pharmacy,Medan,5.0,3 terjual,https://www.tokopedia.com/megahsakti/moell-soothing-calming-rub-cream-50gr-with-red-ginger-meningkatkan-kualitas-tidur-skincare-baby-natural-organic-1731008244507575817?extParam=ivf%3Dfalse%26keyword%3Dskincare%26search_id%3D20250924123431D81F9C1BE2E08938E08X%26src%3Dsearch
Kilap Premium - Pouch Bag | Menyimpan Skincare Motor Lebih Praktis,Rp13.929,,,Pusat Pengkilap,Kab. Malang,4.9,250+ terjual,https://www.tokopedia.com/kilappremium/kilap-premium-pouch-bag-menyimpan-skincare-motor-lebih-praktis?extParam=ivf%3Dfalse%26keyword%3Dskincare%26search_id%3D20250924123431D81F9C1BE2E08938E08X%26src%3Dsearch
BUKAN UNTUK DI ORDER - FREE SKINCARE TRUEVE NIACINAMAX / TRUEVE CERABOOST,Rp999.999,,,Lavie Lash,Jakarta Pusat,5.0,21 terjual,https://www.tokopedia.com/laviebeauty/bukan-untuk-di-order-free-skincare-trueve-niacinamax-trueve-ceraboost-1731426081393313196?extParam=ivf%3Dfalse%26keyword%3Dskincare%26search_id%3D20250924123431D81F9C1BE2E08938E08X%26src%3Dsearch
OHSOME SUNMIKI Storage Keranjang Mini Tempat Skincare Kosmetik Alat Tulis,Rp19.900,,,OHSOME Homeliving,Kab. Bekasi,5.0,80+ terjual,https://www.tokopedia.com/ohsome/ohsome-sunmiki-storage-keranjang-mini-tempat-skincare-kosmetik-alat-tulis-transparent-e6e27?extParam=ivf%3Dtrue%26keyword%3Dskincare%26search_id%3D20250924123431D81F9C1BE2E08938E08X%26src%3Dsearch
KOMIK KKPK : MY FIRST SKINCARE,Rp39.000,Rp19.500,50%,Mizan Store Official,Depok,4.9,15 terjual,https://www.tokopedia.com/mizan-store-official/komik-kkpk-my-first-skincare?extParam=ivf%3Dtrue%26keyword%3Dskincare%26search_id%3D20250924123431D81F9C1BE2E08938E08X%26src%3Dsearch%26whid%3D11549720
"hayylife Keranjang Mandi Genggam - Keranjang Mandi Berbentuk Hati Genggam, Keranjang Penyimpanan Perlengkapan Mandi, Keranjang Mandi Berlubang, Shower Caddy HL-AGB901 wadah skincare bayi",Rp59.998,Rp39.999,33%,hayylife,Kab. Tangerang,4.8,250+ terjual,https://www.tokopedia.com/hayylife/hayylife-keranjang-mandi-genggam-keranjang-mandi-berbentuk-hati-genggam-keranjang-penyimpanan-perlengkapan-mandi-keranjang-mandi-berlubang-shower-caddy-hl-agb901-wadah-skincare-bayi-1729668536949115480?extParam=ivf%3Dtrue%26keyword%3Dskincare%26search_id%3D20250924123431D81F9C1BE2E08938E08X%26src%3Dsearch
Paket Beeme Nourishing Balm 5g + Honey Sunscreen Lotion SPF 50+ PA+++ with Niacinamide | Skincare Mom and Baby,Rp169.000,Rp130.100,23%,Beeme Indonesia,Jakarta Selatan,5.0,60+ terjual,https://www.tokopedia.com/beemeindonesia/paket-beeme-nourishing-balm-5g-honey-sunscreen-lotion-spf-50-pa-with-niacinamide-skincare-mom-and-baby-1732100814767949490?extParam=ivf%3Dfalse%26keyword%3Dskincare%26search_id%3D20250924123431D81F9C1BE2E08938E08X%26src%3Dsearch%26whid%3D9884702
HNH Skincare - Totebag HNH Skincare,Rp99.999,,,H&H Skincare,Jakarta Selatan,5.0,1rb+ terjual,https://www.tokopedia.com/hnhskincare/hnh-skincare-totebag-hnh-skincare-1731486584618255453?extParam=ivf%3Dfalse%26keyword%3Dskincare%26search_id%3D20250924123431D81F9C1BE2E08938E08X%26src%3Dsearch
[BRIGHTENING RENEWAL] BROMEN SKINCARE GIFT BOX PACKAGE | MOISTURIZER ARMOR SUNSCREEN SPRAY+TRAVEL PARFUM+HANDUK | Cleansing Wajah COWOK,Rp460.000,Rp269.999,41%,BROMEN STORE,Surabaya,4.8,3rb+ terjual,https://www.tokopedia.com/bromenofficial/brightening-renewal-bromen-skincare-gift-box-package-moisturizer-armor-sunscreen-spray-travel-parfum-handuk-cleansing-wajah-cowok-1730221892777838370?extParam=ivf%3Dfalse%26keyword%3Dskincare%26search_id%3D20250924123431D81F9C1BE2E08938E08X%26src%3Dsearch
Kulkas Mini Portable Mobil 4L | Car Refrigrator Skincare Cooler and Warmer,Rp575.000,,,Gentleman Car,Jakarta Barat,4.8,100+ terjual,https://www.tokopedia.com/gentlemancar/kulkas-mini-portable-mobil-4l-car-refrigrator-skincare-cooler-and-warmer-1730885205695170024?extParam=ivf%3Dtrue%26keyword%3Dskincare%26search_id%3D20250924123431D81F9C1BE2E08938E08X%26src%3Dsearch
[BRIGHTENING SERIES] BROMEN SKINCARE GIFT BOX PACKAGE | MOISTURIZER ARMOR SUNSCREEN SPRAY+TRAVEL PARFUM+HANDUK | Cleansing Mencerahkan,Rp440.000,Rp259.999,41%,BROMEN STORE,Surabaya,4.8,3rb+ terjual,https://www.tokopedia.com/bromenofficial/brightening-series-bromen-skincare-gift-box-package-moisturizer-armor-sunscreen-spray-travel-parfum-handuk-cleansing-mencerahkan-1730000205868665634?extParam=ivf%3Dfalse%26keyword%3Dskincare%26search_id%3D20250924123431D81F9C1BE2E08938E08X%26src%3Dsearch
Gabag Beauty Daily Protective Moisturizing Care-Skincare Aman Ibu Hamil dan Menyusui BPOM Halal | Sunscreen | Moisturizer Bayi,Rp109.000,Rp79.570,27%,Gabag Indonesia,Tangerang,4.9,1rb+ terjual,https://www.tokopedia.com/gabag/gabag-beauty-daily-protective-moisturizing-care-skincare-aman-ibu-hamil-dan-menyusui-bpom-halal-sunscreen-moisturizer-bayi-1729386333237249233?extParam=ivf%3Dtrue%26keyword%3Dskincare%26search_id%3D20250924123431D81F9C1BE2E08938E08X%26src%3Dsearch
"Beeme Multipurpose Balm – Baby Skincare untuk Kulit Sensitif, Kering & Iritasi",Rp99.000,,,Beeme Indonesia,Jakarta Selatan,4.9,500+ terjual,https://www.tokopedia.com/beemeindonesia/beeme-multipurpose-balm-baby-skincare-untuk-kulit-sensitif-kering-iritasi-1731162394520225458?extParam=ivf%3Dfalse%26keyword%3Dskincare%26search_id%3D20250924123431D81F9C1BE2E08938E08X%26src%3Dsearch
"GENTLY  Skin Rescue Balm with Calamine, Cherry & Habbatussauda Extract | Baby Moisturizer | Pelembab & Skincare Anak Untuk Biang Keringat",Rp86.000,Rp71.200,17%,GENTLY Baby,Kab. Bekasi,4.9,10rb+ terjual,https://www.tokopedia.com/gentlyindonesia/gently-skin-rescue-balm-with-calamine-cherry-habbatussauda-extract?extParam=ivf%3Dtrue%26keyword%3Dskincare%26search_id%3D20250924123431D81F9C1BE2E08938E08X%26src%3Dsearch
Gabag Beauty Hydrating Night Cream - Skincare Aman Ibu Hamil dan Menyusui BPOM Halal | Krim Malam Bumil Bayi,Rp109.000,Rp79.570,27%,Gabag Indonesia,Tangerang,4.9,250+ terjual,https://www.tokopedia.com/gabag/gabag-beauty-hydrating-night-cream-skincare-aman-ibu-hamil-dan-menyusui-bpom-halal-krim-malam-bumil-bayi-1729416928977455313?extParam=ivf%3Dfalse%26keyword%3Dskincare%26search_id%3D20250924123431D81F9C1BE2E08938E08X%26src%3Dsearch
Paket Bundling Beeme Nourishing Balm (2pcs) | Skincare Ibu dan Anak,Rp170.000,Rp134.900,21%,Beeme Indonesia,Jakarta Selatan,4.9,10rb+ terjual,https://www.tokopedia.com/beemeindonesia/paket-bundling-2-pcs-beeme-nourishing-balm-skincare-ibu-dan-anak?extParam=ivf%3Dfalse%26keyword%3Dskincare%26search_id%3D20250924123431D81F9C1BE2E08938E08X%26src%3Dsearch%26whid%3D9884702
Beeme Nourishing Balm | SKINCARE IBU DAN ANAK,Rp40.000,Rp28.000,30%,Beeme Indonesia,Jakarta Selatan,4.9,100rb+ terjual,https://www.tokopedia.com/beemeindonesia/beeme-nourishing-balm-skincare-ibu-dan-anak-1729691021139871410?extParam=ivf%3Dfalse%26keyword%3Dskincare%26search_id%3D20250924123431D81F9C1BE2E08938E08X%26src%3Dsearch
(BUNDLING) Sabun Pemutih Thipank Moisture Gel Thipank Lip Men Serum Perawatan Wajah  Cerah dan Sehat skincare cowok organik pelembab care faceserum,Rp338.000,Rp299.000,12%,thipankskinofficial,Jakarta Utara,4.9,250+ terjual,https://www.tokopedia.com/thipankskinofficial/bundling-sabun-pemutih-thipank-moisture-gel-thipank-lip-men-serum-perawatan-wajah-cerah-dan-sehat-skincare-cowok-organik-pelembab-care-faceserum-1729754375635764583?extParam=ivf%3Dtrue%26keyword%3Dskincare%26search_id%3D20250924123431D81F9C1BE2E08938E08X%26src%3Dsearch
